ProlificID,SubNum,"Recorded
Date",Condition,"Pre (k)
Discount","Post (k) 
Discount","(k) Discount
Difference","Log Pre (k)
Discount","Log Post (k)
Discount","Log (k) Discount
Difference","% Now
Run 1","% Now 
Run 2","% Now
Difference","UPPS
Premeditation","UPPS
Urgency","UPPS
Sensation Seeking","UPPS
Perseverance","FTND
Score","Nbelong
Score","Nsest
Score","Nmexist
Score","Nctrl
Score","Mood_Good
Difference","Mood_Bad
Difference","Mood_Friendly
Difference","Mood_Unfriendly
Difference","Mood_Angry
Difference","Mood_Pleasant
Difference","Mood_Happy
Difference","Mood_Sad
Difference","Mood_Tense
Difference","Mood_Relaxed
Difference","Mood_Accepted
Difference","Mood_Rejected
Difference","Thoughts_
I was ignored","Thoughts_
I was excluded","Thoughts_
I was included","Thoughts_The others 
liked my description"
5d14445a4e1adb0001bff411,144,4/11/20 20:59,1,,,,,,,,,,1.91,2.67,1.92,1.40,0,3.33,2.40,2.00,2.40,2,-3,1,0,-1,3,3,-3,-2,3,3,-3,5,5,1,1
5c1c137b0739430001693cf5,145,4/11/20 21:22,1,,,,,,,,,,1.91,2.00,2.33,2.80,0,4.33,2.80,4.33,3.80,0,0,1,0,0,0,2,0,0,0,0,0,2,2,4,3
57dd7528a0e8ce00015445fd,146,4/11/20 21:06,1,,,,,,,,,,1.18,2.25,1.83,3.60,0,3.00,1.40,3.17,2.20,1,-1,-1,0,1,-2,2,-1,3,0,-1,-1,3,2,2,2
5d0d16d991270800010b7dd7,147,4/11/20 21:19,1,,,,,,,,,,2.00,3.00,3.25,1.70,7,2.00,2.20,1.83,1.40,3,-3,4,-4,-1,2,2,-3,-3,2,3,-4,5,5,1,1
5d219d16072b440018aebe98,148,4/11/20 21:27,1,,,,,,,,,,2.27,1.42,2.33,1.10,0,4.00,4.80,4.33,4.20,0,0,0,0,0,0,0,0,0,0,0,0,1,1,4,4
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5ace650a436f550001004f87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5c284e32867f660001ae805e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5d69954a07fadb001b9f0d51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5db89792ad8fd5000c855134,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5bd494e5669ee1000144c587,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5c918e5eb138fe0014e401e0,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5c918e5eb138fe0014e401e0,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
